Open,High,Close,Low,Volume,Date
1.97,1.99,1.95,1.95,219274,24-09-2018
1.945,1.95,1.88,1.88,523840,25-09-2018
1.9,1.94,1.865,1.865,830183,26-09-2018
1.865,1.89,1.85,1.832,863736,27-09-2018
1.845,1.945,1.915,1.845,985813,28-09-2018
1.86,1.9,1.88,1.86,275484,01-10-2018
1.88,1.885,1.82,1.81,515236,02-10-2018
1.86,1.875,1.85,1.81,614721,03-10-2018
1.84,1.925,1.915,1.84,518779,04-10-2018
1.905,1.905,1.865,1.837,742632,05-10-2018
1.85,1.86,1.84,1.82,508072,08-10-2018
1.84,1.85,1.775,1.73,1221676,09-10-2018
1.77,1.9,1.875,1.77,780879,10-10-2018
1.835,1.835,1.765,1.755,677780,11-10-2018
1.76,1.765,1.735,1.66,603509,12-10-2018
1.73,1.76,1.73,1.71,529424,15-10-2018
1.7,1.74,1.725,1.675,509798,16-10-2018
1.73,1.785,1.68,1.67,1559589,17-10-2018
1.67,1.69,1.67,1.62,1105693,18-10-2018
1.66,1.69,1.655,1.62,524250,19-10-2018
1.64,1.655,1.64,1.59,1154704,22-10-2018
1.655,1.655,1.645,1.61,480972,23-10-2018
1.645,1.665,1.565,1.555,546294,24-10-2018
1.535,1.56,1.495,1.475,1212400,25-10-2018
1.51,1.56,1.515,1.505,1184552,26-10-2018
1.52,1.54,1.5,1.467,694914,29-10-2018
1.52,1.56,1.55,1.51,476986,30-10-2018
1.56,1.582,1.535,1.52,602644,31-10-2018
1.55,1.63,1.615,1.55,897421,01-11-2018
1.62,1.68,1.675,1.605,701989,02-11-2018
1.635,1.697,1.67,1.6,1911103,05-11-2018
1.675,1.675,1.655,1.643,443912,06-11-2018
1.62,1.665,1.64,1.62,645289,07-11-2018
1.66,1.695,1.675,1.655,489584,08-11-2018
1.675,1.69,1.63,1.61,479495,09-11-2018
1.61,1.663,1.59,1.572,743377,12-11-2018
1.595,1.615,1.585,1.535,844746,13-11-2018
1.59,1.62,1.54,1.54,530957,14-11-2018
1.56,1.58,1.51,1.5,790790,15-11-2018
1.52,1.697,1.605,1.345,4289757,16-11-2018
1.6,1.615,1.565,1.525,853684,19-11-2018
1.565,1.572,1.55,1.515,634580,20-11-2018
